pointId,id,name,countryId,townId,address,longitude,latitude,categoryId,seq,installer_name,status,renewable_type,equipment_type,location_type,capacity_kw
940017,T_T04_0604_0143-0000,屏東縣恆春鎮龍泉水段0143-0000地號,17,291,0143-0000,120.725058,21.984341,REVO_PV,940017,珠江太陽能有限公司,商轉中,太陽光電(PV),第一型,地面型,2062.13000
940018,T_T04_0604_0143-0001,屏東縣恆春鎮龍泉水段0143-0001地號,17,291,0143-0001,120.725506,21.984174,REVO_PV,940018,珠江太陽能有限公司,商轉中,太陽光電(PV),第一型,地面型,2062.13000
940019,T_T04_0604_0151-0002,屏東縣恆春鎮龍泉水段0151-0002地號,17,291,0151-0002,120.725129,21.983655,REVO_PV,940019,珠江太陽能有限公司,商轉中,太陽光電(PV),第一型,地面型,2062.13000
940020,T_T04_0604_0151-0006,屏東縣恆春鎮龍泉水段0151-0006地號,17,291,0151-0006,120.726393,21.983487,REVO_PV,940020,珠江太陽能有限公司,商轉中,太陽光電(PV),第一型,地面型,2062.13000
1022288,T_T23_0618_0341-0000,屏東縣車城鄉海口段0341-0000地號,17,310,0341-0000,120.714296,22.118967,REVO_PV,1022288,金江太陽能有限公司,商轉中,太陽光電(PV),第一型,地面型,2358.40000
1241944,T_T32_0646_0003-0001,屏東縣獅子鄉古道段0003-0001地號,17,319,0003-0001,120.714811,22.128231,REVO_PV,1241944,合豐能源股份有限公司,取得施工許可,太陽光電(PV),第一型,地面型,
1241945,T_T32_0646_0003-0009,屏東縣獅子鄉古道段0003-0009地號,17,319,0003-0009,120.718039,22.123228,REVO_PV,1241945,合豐能源股份有限公司,取得施工許可,太陽光電(PV),第一型,地面型,
1241946,T_T32_0646_0003-0010,屏東縣獅子鄉古道段0003-0010地號,17,319,0003-0010,120.717447,22.122772,REVO_PV,1241946,合豐能源股份有限公司,取得施工許可,太陽光電(PV),第一型,地面型,
1241947,T_T32_0646_0003-0017,屏東縣獅子鄉古道段0003-0017地號,17,319,0003-0017,120.717415,22.128151,REVO_PV,1241947,合豐能源股份有限公司,取得施工許可,太陽光電(PV),第一型,地面型,
1241948,T_T23_0618_0085-0000,屏東縣車城鄉海口段0085-0000地號,17,310,0085-0000,120.712796,22.126679,REVO_PV,1241948,合豐能源股份有限公司,取得施工許可,太陽光電(PV),第一型,地面型,
